Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,2.094000101089478,0.0,2.094000101089478,0.0,0.0,2.094000101089478
Benzene,3649.472900390625,37.30400085449219,3612.1689453125,0.0,0.0,3649.472900390625
Beryllium & compounds,0.4580000042915344,0.0,0.4580000042915344,0.0,0.0,0.4580000042915344
Cadmium & compounds,9.51099967956543,0.0,9.51099967956543,0.0,0.0,9.51099967956543
Carbon monoxide,1047878.8125,0.0,1047878.8125,0.0,0.0,1047878.8125
Chromium (VI) compounds,0.4889999926090241,0.0,0.4889999926090241,0.0,0.0,0.4889999926090241
Copper & compounds,8.993000030517578,0.0,8.993000030517578,0.0,0.0,8.993000030517578
Ethylbenzene,155.6529998779297,2.431999921798706,153.2209930419922,0.0,0.0,155.6529998779297
n-Hexane,33332.9296875,359.1050109863281,32973.82421875,0.0,0.0,33332.9296875
Hydrogen sulfide,126813.140625,0.0,126813.140625,0.0,0.0,126813.140625
Lead & compounds,3.371999979019165,0.0,3.371999979019165,0.0,0.0,3.371999979019165
Mercury & compounds,2.312999963760376,0.0,2.312999963760376,0.0,0.0,2.312999963760376
Methanol,44939.03,0.0,44939.026,0.0,0.0,44939.03
Nickel & compounds,17.64299964904785,0.0,17.64299964904785,0.0,0.0,17.64299964904785
Oxides of Nitrogen,2207816.0,0.0,2207816.0,0.0,0.0,2207816.0
Particulate Matter 10.0 um,104552.578125,0.0,104552.578125,0.0,0.0,104552.578125
Phenol,395.6289978027344,0.0,395.6289978027344,0.0,0.0,395.6289978027344
Polycyclic aromatic hydrocarbons (B[a]Peq),45.32500076293945,0.0,45.32500076293945,0.0,0.0,45.32500076293945
Sulfur dioxide,5494.77978515625,0.0,5494.77978515625,0.0,0.0,5494.77978515625
Toluene (methylbenzene),2104.738037109375,21.34799957275391,2083.389892578125,0.0,0.0,2104.738037109375
Total Volatile Organic Compounds,1601231.375,36481.44921875,1564750.0,0.0,0.0,1601231.375
Xylenes (individual or mixed isomers),624.968017578125,8.512999534606934,616.4550170898438,0.0,0.0,624.968017578125
