Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,,,,0.015563,,0.015563
Benzene,3928.3572529,741.9484239,3186.408829,2.428818,,3930.7860709
Beryllium & compounds,,,,0.001349,,0.001349
Cadmium & compounds,,,,0.090893,,0.090893
Carbon monoxide,698720.2,,698720.2,,,698720.2
Chromium (III) compounds,,,,0.100843,,0.100843
Copper & compounds,,,,0.106528,,0.106528
Cumene (1-methylethylbenzene),245.5419801,245.5419801,,,,245.5419801
Cyclohexane,3433.278,3433.278,,,,3433.278
Ethylbenzene,2727.33,1631.06,1096.27,10.187536,,2737.517536
n-Hexane,44056.8,14783.79,29273.01,43.313893,,44100.113893
Hydrogen sulfide,36791.31521,,36791.31521,,,36791.31521
Lead & compounds,,,,0.095157,,0.095157
Mercury & compounds,1.181,,1.181,0.014254,,1.195254
Methanol,21110.0,,21110.0,,,21110.0
Nickel & compounds,,,,0.142061,,0.142061
Oxides of Nitrogen,1609306.63,,1609306.63,,,1609306.63
Particulate Matter 10.0 um,73045.24,,73045.24,,,73045.24
Particulate Matter 2.5 um,71982.32,,71982.32,,,71982.32
Phenol,51.16733897,51.16733897,,0.269875,,51.43721397
Polychlorinated dioxins and furans (TEQ),1.26492E-5,,1.26492E-5,,,1.26492E-5
Polycyclic aromatic hydrocarbons (B[a]Peq),1.633531559,,1.633531559,0.192956,,1.826487559
Sulfur dioxide,2943.66,,2943.66,,,2943.66
Toluene (methylbenzene),9075.31,2939.1,6136.21,12.683822,,9087.993822
Total Volatile Organic Compounds,1001738.49,90688.42,911050.07,,,1001738.49
Xylenes (individual or mixed isomers),4212.72,3006.51,1206.21,10.19,,4222.91
