Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,,,,0.0114,,0.0114
Benzene,4215.0,509.0,3706.0,1.22239,,4216.22239
Beryllium & compounds,,,,7.0E-4,,7.0E-4
Cadmium & compounds,,,,0.068,,0.068
Carbon monoxide,814497.0,,814497.0,,,814497.0
Chromium (III) compounds,,,,0.0757,,0.0757
Copper & compounds,,,,0.08,,0.08
Cumene (1-methylethylbenzene),265.0,116.0,149.0,,,265.0
Cyclohexane,3129.0,3129.0,,,,3129.0
Ethylbenzene,2964.0,692.0,2272.0,5.12726,,2969.12726
n-Hexane,46064.0,10525.0,35539.0,21.7993,,46085.7993
Hydrogen sulfide,30776.0,,30776.0,,,30776.0
Lead & compounds,,,,0.071,,0.071
Mercury & compounds,1.152,,1.152,0.0107,,1.1627
Methanol,37753.0,,37753.0,,,37753.0
Nickel & compounds,,,,0.107,,0.107
Oxides of Nitrogen,2226690.0,,2226690.0,,,2226690.0
Particulate Matter 10.0 um,93605.0,,93605.0,,,93605.0
Particulate Matter 2.5 um,92307.0,,92307.0,,,92307.0
Phenol,41.0,,41.0,0.136,,41.136
Polychlorinated dioxins and furans (TEQ),1.16267E-5,,1.16267E-5,,,1.16267E-5
Polycyclic aromatic hydrocarbons (B[a]Peq),1.52,,1.52,0.0971,,1.6171
Sulfur dioxide,3906.0,,3906.0,,,3906.0
Toluene (methylbenzene),9637.0,1764.0,7873.0,6.38361,,9643.38361
Total Volatile Organic Compounds,1089570.0,41063.0,1048507.0,,,1089570.0
Xylenes (individual or mixed isomers),4430.0,2012.0,2418.0,5.12726,,4435.12726
