Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,,,,1.8E-4,,1.8E-4
Benzene,6047.9,594.3,5453.6,0.294,,6048.194
Beryllium & compounds,,,,1.63E-4,,1.63E-4
Cadmium & compounds,,,,2.58E-4,,2.58E-4
Carbon monoxide,388752.4,11576.0,377176.4,,,388752.4
Chromium (III) compounds,,,,2.68E-4,,2.68E-4
Copper & compounds,,,,2.74E-4,,2.74E-4
Cumene (1-methylethylbenzene),139.8,139.8,,0.163,,139.963
Cyclohexane,3647.6,3647.6,,1.142,,3648.742
Ethylbenzene,2763.7,863.5,1900.2,1.232,,2764.932
n-Hexane,64594.0,12066.7,52527.3,5.236,,64599.236
Hydrogen sulfide,44074.7,,44074.7,,,44074.7
Lead & compounds,,,,2.62E-4,,2.62E-4
Mercury & compounds,0.904,,0.904,1.99E-5,,0.9040199
Methanol,15760.0,,15760.0,,,15760.0
Nickel & compounds,,,,3.12E-4,,3.12E-4
Oxides of Nitrogen,798455.6,7667.7,790787.9,,,798455.6
Particulate Matter 10.0 um,24122.7,2384.0,21738.7,,,24122.7
Particulate Matter 2.5 um,23975.3,2269.4,21705.9,,,23975.3
Phenol,,,,0.033,,0.033
Polychlorinated dioxins and furans (TEQ),1.02E-5,,1.02E-5,,,1.02E-5
Polycyclic aromatic hydrocarbons (B[a]Peq),1.69,0.37,1.32,0.023,,1.713
Sulfur dioxide,3175.9,19.1,3156.8,,,3175.9
Toluene (methylbenzene),12722.9,2089.2,10633.7,1.534,,12724.434
Total Volatile Organic Compounds,1585843.1,52146.0,1533697.1,,,1585843.1
Xylenes (individual or mixed isomers),4278.3,2321.1,1957.2,1.232,,4279.532
