Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,1.299,,1.299,,,1.299
Benzene,358.0,,358.0,,,358.0
Cadmium & compounds,7.146,,7.146,,,7.146
Carbon monoxide,661707.0,,661707.0,,,661707.0
Chromium (VI) compounds,0.455,,0.455,,,0.455
Lead & compounds,1.762,,1.762,,,1.762
Mercury & compounds,1.689,,1.689,,,1.689
Methanol,33820.0,,33820.0,,,33820.0
Oxides of Nitrogen,1087343.0,,1087343.0,,,1087343.0
Particulate Matter 10.0 um,49372.0,,49372.0,,,49372.0
Toluene (methylbenzene),157.0,,157.0,,,157.0
Xylenes (individual or mixed isomers),131.0,,131.0,,,131.0
