Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,,,,0.0295,,0.0295
Benzene,2495.6,502.9,1992.7,0.79,,2496.39
Beryllium & compounds,,,,4.39E-4,,4.39E-4
Cadmium & compounds,,,,0.184,,0.184
Carbon monoxide,458357.4,12933.5,445423.9,,,458357.4
Chromium (III) compounds,,,,0.204,,0.204
Copper & compounds,,,,0.216,,0.216
Cumene (1-methylethylbenzene),109.3,109.3,,0.439,,109.739
Cyclohexane,2748.0,2748.0,,3.073,,2751.073
Ethylbenzene,1403.0,689.6,713.4,3.315,,1406.315
n-Hexane,28207.7,9401.5,18806.2,14.093,,28221.793
Hydrogen sulfide,46551.2,,46551.2,,,46551.2
Lead & compounds,,,,0.192,,0.192
Mercury & compounds,0.92,,0.92,0.029,,0.949
Methanol,9127.2,,9127.2,,,9127.2
Nickel & compounds,,,,0.288,,0.288
Oxides of Nitrogen,846522.2,9281.0,837241.2,,,846522.2
Particulate Matter 10.0 um,26127.8,2659.6,23468.2,,,26127.8
Particulate Matter 2.5 um,25937.4,2529.0,23408.4,,,25937.4
Phenol,106.304,104.7,1.604,0.088,,106.392
Polychlorinated dioxins and furans (TEQ),9.85E-6,,9.85E-6,,,9.85E-6
Polycyclic aromatic hydrocarbons (B[a]Peq),1.71,0.43,1.28,0.063,,1.773
Sulfur dioxide,3113.9,21.2,3092.7,,,3113.9
Toluene (methylbenzene),5648.4,1691.8,3956.6,4.127,,5652.527
Total Volatile Organic Compounds,612649.3,46611.0,566038.3,,,612649.3
Xylenes (individual or mixed isomers),2589.3,1810.9,778.4,3.315,,2592.615
