Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,,,,1.98E-4,,1.98E-4
Benzene,5408.82,341.23,5067.59,0.3564,,5409.1764
Beryllium & compounds,,,,1.98E-4,,1.98E-4
Cadmium & compounds,,,,1.98E-4,,1.98E-4
Carbon monoxide,811177.87,2945.67,808232.2,,,811177.87
Chromium (III) compounds,,,,1.98E-4,,1.98E-4
Copper & compounds,,,,1.98E-4,,1.98E-4
Cumene (1-methylethylbenzene),102.32,102.32,,0.198,,102.518
Cyclohexane,1615.84,1615.84,,1.3861,,1617.2261
Ethylbenzene,2329.67,642.39,1687.28,1.495,,2331.165
n-Hexane,52762.53,6148.21,46614.32,6.3563,,52768.8863
Hydrogen sulfide,35174.23,,35174.23,,,35174.23
Lead & compounds,,,,1.98E-4,,1.98E-4
Mercury & compounds,0.8093,,0.8093,5.9E-6,,0.8093059
Methanol,16032.832347,,16032.832347,,,16032.832347
Nickel & compounds,,,,1.98E-4,,1.98E-4
Oxides of Nitrogen,999754.05,1951.14,997802.91,,,999754.05
Particulate Matter 10.0 um,20169.74,606.63,19563.11,,,20169.74
Particulate Matter 2.5 um,20107.25,577.47,19529.78,,,20107.25
Phenol,,,,0.0396,,0.0396
Polychlorinated dioxins and furans (TEQ),8.8E-6,,8.8E-6,,,8.8E-6
Polycyclic aromatic hydrocarbons (B[a]Peq),1.23070026,0.09304,1.13766026,0.0283,,1.25900026
Sulfur dioxide,2824.82056,4.87056,2819.95,,,2824.82056
Toluene (methylbenzene),10877.6,1370.61,9506.99,1.8613,,10879.4613
Total Volatile Organic Compounds,1401451.94,36352.78,1365099.16,,,1401451.94
Xylenes (individual or mixed isomers),3394.92,1634.97,1759.95,1.495,,3396.415
