Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,2.424,,2.424,,,2.424
Benzene,330.9,,330.9,,,330.9
Cadmium & compounds,10.4,,10.4,,,10.4
Carbon monoxide,1140137.0,,1140137.0,,,1140137.0
Chromium (VI) compounds,0.493,,0.493,,,0.493
Lead & compounds,4.06,,4.06,,,4.06
Mercury & compounds,2.557,,2.557,,,2.557
Methanol,25107.0,,25107.0,,,25107.0
Oxides of Nitrogen,1986538.0,,1986538.0,,,1986538.0
Particulate Matter 10.0 um,128389.0,,128389.0,,,128389.0
Polycyclic aromatic hydrocarbons (B[a]Peq),40.5,,40.5,,,40.5
Toluene (methylbenzene),163.252,,163.252,,,163.252
Xylenes (individual or mixed isomers),98.129,,98.129,,,98.129
