Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,1.49,,1.49,0.0083,,1.4983
Benzene,651.5,61.5,590.0,2.53E-4,,651.500253
Beryllium & compounds,0.12,,0.12,,,0.12
Cadmium & compounds,8.0,,8.0,0.05,,8.05
Carbon monoxide,1148000.0,,1148000.0,,,1148000.0
Chromium (III) compounds,0.497,,0.497,0.055,,0.552
Copper & compounds,1.46,,1.46,0.058,,1.518
Ethylbenzene,30.56,3.56,27.0,0.0014,,30.5614
n-Hexane,3677.0,267.0,3410.0,0.0028,,3677.0028
Lead & compounds,2.07,,2.07,0.052,,2.122
Mercury & compounds,1.9,,1.9,0.0078,,1.9078
Methanol,43000.0,,43000.0,,,43000.0
Nickel & compounds,15.2,,15.2,0.078,,15.278
Oxides of Nitrogen,1957000.0,,1957000.0,,,1957000.0
Particulate Matter 10.0 um,58500.0,,58500.0,,,58500.0
Phenol,5.17,,5.17,7.4E-5,,5.170074
Polycyclic aromatic hydrocarbons (B[a]Peq),20.6,,20.6,7.0E-6,,20.600007
Sulfur dioxide,3350.0,,3350.0,,,3350.0
Toluene (methylbenzene),54.6,27.6,27.0,0.0011,,54.6011
Total Volatile Organic Compounds,1288100.0,29100.0,1259000.0,,,1288100.0
Xylenes (individual or mixed isomers),189.1,20.1,169.0,0.0014,,189.1014
