Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,,,,9.95E-4,,9.95E-4
Benzene,6228.92,428.07,5800.85,1.8564,,6230.7764
Beryllium & compounds,,,,9.9E-4,,9.9E-4
Cadmium & compounds,,,,9.93E-4,,9.93E-4
Carbon monoxide,1154143.67,1957.83,1152185.84,,,1154143.67
Chromium (III) compounds,,,,9.94E-4,,9.94E-4
Copper & compounds,,,,9.93E-4,,9.93E-4
Cumene (1-methylethylbenzene),118.53,118.53,,0.9893,,119.5193
Cyclohexane,2154.46,2154.46,,6.9248,,2161.3848
Ethylbenzene,2663.9,740.81,1923.09,7.5743,,2671.4743
n-Hexane,60351.27,7599.17,52752.1,32.1286,,60383.3986
Hydrogen sulfide,36430.41,,36430.41,,,36430.41
Lead & compounds,,,,9.93E-4,,9.93E-4
Mercury & compounds,1.13,,1.13,2.99E-5,,1.1300299
Methanol,14461.37,,14461.37,,,14461.37
Nickel & compounds,,,,9.95E-4,,9.95E-4
Oxides of Nitrogen,1392480.37,1296.82,1391183.55,,,1392480.37
Particulate Matter 10.0 um,27663.02,403.2,27259.82,,,27663.02
Particulate Matter 2.5 um,27610.84,383.81,27227.03,,,27610.84
Phenol,,,,0.20134,,0.20134
Polychlorinated dioxins and furans (TEQ),1.22E-5,,1.22E-5,,,1.22E-5
Polycyclic aromatic hydrocarbons (B[a]Peq),1.6324,0.0618,1.5706,0.14146,,1.77386
Sulfur dioxide,3913.55,3.24,3910.31,,,3913.55
Toluene (methylbenzene),12530.53,1698.63,10831.9,9.56425,,12540.09425
Total Volatile Organic Compounds,1587106.05,38077.74,1549028.31,,,1587106.05
Xylenes (individual or mixed isomers),4095.69,2071.21,2024.48,7.57429,,4103.26429
