Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,,,,0.022,,0.022
Benzene,2313.3,550.3,1763.0,0.129,,2313.429
Beryllium & compounds,,,,7.17E-5,,7.17E-5
Cadmium & compounds,,,,0.138,,0.138
Carbon monoxide,504246.8,26391.8,477855.0,,,504246.8
Chromium (III) compounds,,,,0.153,,0.153
Copper & compounds,,,,0.162,,0.162
Cumene (1-methylethylbenzene),125.0,125.0,,0.072,,125.072
Cyclohexane,3053.0,3053.0,,0.502,,3053.502
Ethylbenzene,1410.7,780.8,629.9,0.541,,1411.241
n-Hexane,26905.2,10556.2,16349.0,2.301,,26907.501
Hydrogen sulfide,57862.2,,57862.2,,,57862.2
Lead & compounds,,,,0.144,,0.144
Mercury & compounds,0.953,,0.953,0.022,,0.975
Methanol,17538.8,,17538.8,,,17538.8
Nickel & compounds,,,,0.216,,0.216
Oxides of Nitrogen,971870.8,18193.6,953677.2,,,971870.8
Particulate Matter 10.0 um,32896.0,5431.2,27464.8,,,32896.0
Particulate Matter 2.5 um,32485.0,5167.4,27317.6,,,32485.0
Phenol,80.98,78.5,2.48,0.014,,80.994
Polychlorinated dioxins and furans (TEQ),1.02E-5,,1.02E-5,,,1.02E-5
Polycyclic aromatic hydrocarbons (B[a]Peq),2.19,0.86,1.33,0.01,,2.2
Sulfur dioxide,998.5,43.5,955.0,,,998.5
Toluene (methylbenzene),5366.1,1873.2,3492.9,0.674,,5366.774
Total Volatile Organic Compounds,558064.2,55451.8,502612.4,,,558064.2
Xylenes (individual or mixed isomers),2722.1,2015.7,706.4,0.541,,2722.641
