Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,,,,0.0408,,0.0408
Benzene,6746.2,608.1,6138.1,36.372,,6782.572
Beryllium & compounds,,,,0.0117,,0.0117
Cadmium & compounds,,,,0.191,,0.191
Carbon monoxide,441031.2,6901.5,434129.7,,,441031.2
Chromium (III) compounds,,,,0.211,,0.211
Copper & compounds,,,,0.222,,0.222
Cumene (1-methylethylbenzene),126.1,126.1,,11.708,,137.808
Cyclohexane,3233.7,3233.7,,81.956,,3315.656
Ethylbenzene,3027.1,901.9,2125.2,109.686,,3136.786
n-Hexane,70273.9,11326.6,58947.3,451.259,,70725.159
Hydrogen sulfide,44676.3,,44676.3,,,44676.3
Lead & compounds,,,,0.199,,0.199
Mercury & compounds,0.93,,0.93,0.029,,0.959
Methanol,32731.2,,32731.2,,,32731.2
Nickel & compounds,,,,0.293,,0.293
Oxides of Nitrogen,844505.5,4571.4,839934.1,,,844505.5
Particulate Matter 10.0 um,23323.2,1421.3,21901.9,,,23323.2
Particulate Matter 2.5 um,23230.8,1353.0,21877.8,,,23230.8
Phenol,103.652,102.01,1.642,3.047,,106.699
Polychlorinated dioxins and furans (TEQ),1.01E-5,,1.01E-5,,,1.01E-5
Polycyclic aromatic hydrocarbons (B[a]Peq),1.53,0.22,1.31,1.674,,3.204
Sulfur dioxide,3184.6,11.4,3173.2,,,3184.6
Toluene (methylbenzene),14025.0,2109.3,11915.7,163.634,,14188.634
Total Volatile Organic Compounds,1773987.2,49500.4,1724486.8,,,1773987.2
Xylenes (individual or mixed isomers),4299.0,2107.9,2191.1,109.686,,4408.686
