Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.926,,0.926,0.0133,,0.9393
Benzene,825.0,277.0,548.0,5.1E-4,,825.00051
Beryllium & compounds,0.056,,0.056,,,0.056
Cadmium & compounds,5.1,,5.1,0.069,,5.169
Carbon monoxide,515141.0,277.0,514864.0,,,515141.0
Chromium (III) compounds,0.32,,0.32,0.0759,,0.3959
Copper & compounds,0.39,,0.39,0.08,,0.47
Cumene (1-methylethylbenzene),56.0,56.0,,,,56.0
Cyclohexane,1952.0,1952.0,,,,1952.0
Ethylbenzene,270.0,241.0,29.0,0.00216,,270.00216
n-Hexane,6432.0,5750.0,682.0,0.0092,,6432.0092
Hydrogen sulfide,55658.0,,55658.0,,,55658.0
Lead & compounds,1.3,,1.3,0.072,,1.372
Mercury & compounds,1.2,,1.2,0.0105,,1.2105
Methanol,43000.0,,43000.0,,,43000.0
Nickel & compounds,9.7,,9.7,0.106,,9.806
Oxides of Nitrogen,1454637.0,185.0,1454452.0,,,1454637.0
Particulate Matter 10.0 um,35219.0,58.0,35161.0,,,35219.0
Particulate Matter 2.5 um,35200.0,55.0,35145.0,,,35200.0
Phenol,38.0,,38.0,2.85E-4,,38.000285
Polycyclic aromatic hydrocarbons (B[a]Peq),12.01,0.01,12.0,4.08E-5,,12.0100408
Sulfur dioxide,2924.47,0.47,2924.0,,,2924.47
Toluene (methylbenzene),991.0,760.0,231.0,0.00268,,991.00268
Total Volatile Organic Compounds,427582.0,32012.0,395570.0,,,427582.0
Xylenes (individual or mixed isomers),1312.0,1083.0,229.0,0.00216,,1312.00216
