Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,1.42,0.0,1.42,0.023,,1.443
Benzene,3302.53,57.66,3244.87,0.013,,3302.543
Beryllium & compounds,0.109,0.0,0.109,0.0,,0.109
Cadmium & compounds,7.67,0.0,7.67,0.024,,7.694
Carbon monoxide,856559.0,0.0,856559.0,0.0,,856559.0
Chromium (III) compounds,0.48,0.0,0.48,0.025,,0.505
Copper & compounds,1.2,0.0,1.2,0.025,,1.225
Ethylbenzene,148.7,3.43,145.27,0.069,,148.769
"Ethylene glycol (1,2-ethanediol)",0.0,0.0,0.0,,,0.0
n-Hexane,28209.06,288.58,27920.48,0.14,,28209.2
Hydrogen sulfide,,,,0.0,,0.0
Lead & compounds,1.97,0.0,1.97,0.025,,1.995
Manganese & compounds,,,,0.611,,0.611
Mercury & compounds,1.82,0.0,1.82,0.0015,,1.8215
Methanol,43000.0,0.0,43000.0,0.0,,43000.0
Nickel & compounds,14.6,0.0,14.6,0.03,,14.63
Oxides of Nitrogen,1642926.875,0.0,1642926.875,0.0,,1642926.875
Particulate Matter 10.0 um,55832.51,0.0,55832.51,0.0,,55832.51
Phenol,7.19,0.0,7.19,0.0022,,7.1922
Polycyclic aromatic hydrocarbons (B[a]Peq),19.18,0.0,19.18,3.0E-4,,19.1803
Sulfur dioxide,3171.99,0.0,3171.99,,,3171.99
Toluene (methylbenzene),1742.97,26.81,1716.16,0.056,,1743.026
Total Volatile Organic Compounds,1423224.55,30286.67,1392937.88,0.21,,1423224.76
Xylenes (individual or mixed isomers),595.79,18.24,577.55,0.07,,595.86
Zinc and compounds,,,,0.024,,0.024
