Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,1.416,0.0,1.416,0.0021653,,1.4181653
Benzene,3211.38,52.43,3158.95,3.454E-4,,3211.3803454
Beryllium & compounds,0.119,0.0,0.119,0.0,,0.119
Cadmium & compounds,7.59,0.0,7.59,0.01,,7.6
Carbon monoxide,918805.25,0.0,918805.25,,,918805.25
Chromium (III) compounds,0.47,0.0,0.47,0.011,,0.481
Copper & compounds,1.42,0.0,1.42,0.012,,1.432
Ethylbenzene,143.46,3.1,140.36,0.002,,143.462
"Ethylene glycol (1,2-ethanediol)",0.0,0.0,0.0,0.0,,0.0
n-Hexane,28109.04,260.57,27848.47,0.004,,28109.044
Lead & compounds,1.97,0.0,1.97,0.011,,1.981
Mercury & compounds,1.8,0.0,1.8,0.0016,,1.8016
Methanol,43000.0,0.0,43000.0,0.0,,43000.0
Nickel & compounds,14.43,0.0,14.43,0.016,,14.446
Oxides of Nitrogen,1995016.88,0.0,1995016.88,,,1995016.88
Particulate Matter 10.0 um,55679.41,0.0,55679.41,,,55679.41
Phenol,5.76,0.0,5.76,6.9E-5,,5.760069
Polycyclic aromatic hydrocarbons (B[a]Peq),19.65,0.0,19.65,9.106240213441197E-6,,19.650009106240212
Sulfur dioxide,3189.61,0.0,3189.61,,,3189.61
Toluene (methylbenzene),1708.37,24.31,1684.06,0.0016,,1708.3716
Total Volatile Organic Compounds,1476150.83,27668.7,1448482.13,0.0059,,1476150.8359
Xylenes (individual or mixed isomers),559.01,16.56,542.45,0.002,,559.012
