Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.897,,0.897,0.0061,,0.9031
Benzene,371.0,256.0,115.0,1.6E-4,,371.00016
Beryllium & compounds,0.054,,0.054,,,0.054
Cadmium & compounds,4.9,,4.9,0.037,,4.937
Carbon monoxide,509041.0,,509041.0,,,509041.0
Chromium (III) compounds,0.31,,0.31,0.041,,0.351
Copper & compounds,0.38,,0.38,0.043,,0.423
Cumene (1-methylethylbenzene),52.0,52.0,,,,52.0
Cyclohexane,1788.0,1788.0,,,,1788.0
Ethylbenzene,225.7,220.0,5.7,4.6E-4,,225.70046
n-Hexane,5393.0,5288.0,105.0,0.00184,,5393.00184
Hydrogen sulfide,58.0,,58.0,,,58.0
Lead & compounds,1.2,,1.2,0.038,,1.238
Mercury & compounds,1.2,,1.2,0.0058,,1.2058
Methanol,43000.0,,43000.0,,,43000.0
Nickel & compounds,9.4,,9.4,0.0573,,9.4573
Oxides of Nitrogen,1440441.0,,1440441.0,,,1440441.0
Particulate Matter 10.0 um,34497.0,,34497.0,,,34497.0
Particulate Matter 2.5 um,34466.0,,34466.0,,,34466.0
Phenol,21.0,,21.0,2.96E-5,,21.0000296
Polycyclic aromatic hydrocarbons (B[a]Peq),12.0,,12.0,4.2E-6,,12.0000042
Sulfur dioxide,3560.0,,3560.0,,,3560.0
Toluene (methylbenzene),758.0,697.0,61.0,7.4E-4,,758.00074
Total Volatile Organic Compounds,322474.0,32116.0,290358.0,,,322474.0
Xylenes (individual or mixed isomers),1053.0,992.0,61.0,4.6E-4,,1053.00046
