Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Benzene,632500.0,2500.0,630000.0,,,632500.0
Cadmium & compounds,,,,,0.02,0.02
Carbon monoxide,4302800.0,2800.0,4300000.0,,,4302800.0
Copper & compounds,,,,,0.16,0.16
Cumene (1-methylethylbenzene),160.0,160.0,,,,160.0
Cyclohexane,155300.0,5300.0,150000.0,,,155300.0
Ethylbenzene,27860.0,860.0,27000.0,,,27860.0
Formaldehyde (methyl aldehyde),48500.0,,48500.0,,,48500.0
n-Hexane,375000.0,45000.0,330000.0,,,375000.0
Hydrogen sulfide,25000.0,,25000.0,,,25000.0
Lead & compounds,,,,,0.14,0.14
Mercury & compounds,,,,,5.3E-4,5.3E-4
Oxides of Nitrogen,7501300.0,1300.0,7500000.0,,,7501300.0
Particulate Matter 10.0 um,140340.0,340.0,140000.0,,,140340.0
Particulate Matter 2.5 um,140330.0,330.0,140000.0,,,140330.0
Polychlorinated dioxins and furans (TEQ),1.0E-6,,1.0E-6,,,1.0E-6
Polycyclic aromatic hydrocarbons (B[a]Peq),0.02124,0.021,2.4E-4,,,0.02124
Sulfur dioxide,100009.5,9.5,100000.0,,,100009.5
Toluene (methylbenzene),833300.0,3300.0,830000.0,,,833300.0
Total Volatile Organic Compounds,1.948E7,480000.0,1.9E7,,,1.948E7
Xylenes (individual or mixed isomers),293300.0,3300.0,290000.0,,,293300.0
