Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,7.7,,7.7,,,7.7
Benzene,198300.0,8300.0,190000.0,,,198300.0
Beryllium & compounds,0.46,,0.46,,,0.46
"1,3-Butadiene (vinyl ethylene)",6.1,6.1,,,,6.1
Cadmium & compounds,42.0,,42.0,,0.01,42.01
Carbon monoxide,5911000.0,11000.0,5900000.0,,,5911000.0
Chromium (VI) compounds,2.7,,2.7,,,2.7
Copper & compounds,3.3,,3.3,,0.2,3.5
Cumene (1-methylethylbenzene),330.0,330.0,,,,330.0
Cyclohexane,74400.0,7400.0,67000.0,,,74400.0
Ethylbenzene,16500.0,1500.0,15000.0,,,16500.0
Fluoride compounds,0.0,,0.0,,,0.0
Formaldehyde (methyl aldehyde),2900.0,,2900.0,,,2900.0
n-Hexane,110000.0,34000.0,76000.0,,,110000.0
Hydrogen sulfide,21000.0,,21000.0,,,21000.0
Lead & compounds,10.00042,4.2E-4,10.0,,0.078,10.07842
Mercury & compounds,10.0,,10.0,,,10.0
Nickel & compounds,81.0,,81.0,,,81.0
Oxides of Nitrogen,1.20052E7,5200.0,1.2E7,,,1.20052E7
Particulate Matter 10.0 um,291400.0,1400.0,290000.0,,,291400.0
Particulate Matter 2.5 um,121300.0,1300.0,120000.0,,,121300.0
Polychlorinated dioxins and furans (TEQ),4.3E-7,4.3E-7,,,,4.3E-7
Polycyclic aromatic hydrocarbons (B[a]Peq),0.21,0.21,,,,0.21
Sulfur dioxide,63021.0,21.0,63000.0,,,63021.0
Toluene (methylbenzene),304300.0,4300.0,300000.0,,,304300.0
Total Volatile Organic Compounds,1.42E7,9500000.0,4700000.0,,,1.42E7
Xylenes (individual or mixed isomers),126800.0,6800.0,120000.0,,,126800.0
