Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Benzene,613800.0,3800.0,610000.0,,0.03,613800.03
Cadmium & compounds,,,,,0.0028,0.0028
Carbon monoxide,7603600.0,3600.0,7600000.0,,,7603600.0
Copper & compounds,,,,,0.15,0.15
Cumene (1-methylethylbenzene),170.0,170.0,,,0.01,170.01
Cyclohexane,185500.0,5500.0,180000.0,,0.23,185500.23
Ethylbenzene,52880.0,880.0,52000.0,,0.048,52880.048
n-Hexane,513000.0,43000.0,470000.0,,0.62,513000.62
Hydrogen sulfide,24000.0,,24000.0,,,24000.0
Lead & compounds,0.073,0.073,,,0.051,0.124
Mercury & compounds,,,,,0.0038,0.0038
Oxides of Nitrogen,7801600.0,1600.0,7800000.0,,,7801600.0
Particulate Matter 10.0 um,130440.0,440.0,130000.0,,,130440.0
Particulate Matter 2.5 um,130430.0,430.0,130000.0,,,130430.0
Polychlorinated dioxins and furans (TEQ),5.1E-7,,5.1E-7,,,5.1E-7
Polycyclic aromatic hydrocarbons (B[a]Peq),9.0000095,9.0,9.5E-6,,0.09,9.0900095
Sulfur dioxide,95012.0,12.0,95000.0,,,95012.0
Toluene (methylbenzene),1103500.0,3500.0,1100000.0,,0.127,1103500.127
Total Volatile Organic Compounds,1.885E7,450000.0,1.84E7,,,1.885E7
Xylenes (individual or mixed isomers),443500.0,3500.0,440000.0,,0.22,443500.22
