Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,1.045,1.045,,,,1.045
Benzene,575064.0,1864.0,573200.0,0.02622,0.05998,575064.0862
Beryllium & compounds,0.05224,0.05224,,,,0.05224
Cadmium & compounds,0.06095,0.06095,,,0.01307,0.07402
Carbon monoxide,3541843.0,1843.0,3540000.0,,,3541843.0
Chromium (III) compounds,12.19,12.19,,,,12.19
Copper & compounds,5.224,5.224,,,0.166,5.39
Cumene (1-methylethylbenzene),104.3,104.3,,0.5634,0.02746,104.89086
Cyclohexane,144379.0,3379.0,141000.0,1.828E-4,0.5062,144379.5063828
Ethylbenzene,45867.1,557.1,45310.0,0.02624,0.1066,45867.23284
"Ethylene glycol (1,2-ethanediol)",,,,1.875,8826.0,8827.875
Fluoride compounds,34.83,34.83,,,,34.83
Formaldehyde (methyl aldehyde),44390.0,,44390.0,,,44390.0
n-Hexane,299560.0,29660.0,269900.0,0.0267,1.372,299561.3987
Hydrogen sulfide,49530.0,,49530.0,,,49530.0
Lead & compounds,6.095,6.095,,,0.04434,6.13934
Mercury & compounds,0.01052591,0.01045,7.591E-5,,0.00365,0.01417591
Nickel & compounds,8.707,8.707,,,,8.707
Oxides of Nitrogen,6255844.6,844.6,6255000.0,,,6255844.6
Particulate Matter 10.0 um,149030.0,20130.0,128900.0,,,149030.0
Particulate Matter 2.5 um,128822.3,222.3,128600.0,,,128822.3
Polychlorinated dioxins and furans (TEQ),4.208E-7,,4.208E-7,,,4.208E-7
Polycyclic aromatic hydrocarbons (B[a]Peq),0.015979,0.01568,2.99E-4,2.149,0.2029,2.367879
Sulfur dioxide,82011.587,1.587,82010.0,,,82011.587
Toluene (methylbenzene),914690.0,2190.0,912500.0,0.07871,0.2732,914690.35191
Total Volatile Organic Compounds,1.07551E7,335100.0,1.042E7,,,1.07551E7
Xylenes (individual or mixed isomers),259451.0,2151.0,257300.0,0.2622,0.4733,259451.7355
