Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Benzene,1139143.0,,1139143.0,,3.0,1139146.0
Cadmium & compounds,,,,,0.0,0.0
Carbon monoxide,448169.0,,448169.0,,,448169.0
Lead & compounds,,,,,0.0,0.0
Mercury & compounds,0.0,,0.0,0.0,0.0,0.0
Oxides of Nitrogen,5811788.0,,5811788.0,,,5811788.0
Particulate Matter 10.0 um,136385.0,,136385.0,,,136385.0
Sulfur dioxide,124733.0,,124733.0,,,124733.0
Toluene (methylbenzene),2113760.0,,2113760.0,,1.0,2113761.0
Total Nitrogen,,,,,0.0,0.0
Xylenes (individual or mixed isomers),1329036.0,,1329036.0,,,1329036.0
