Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,8.6,,8.6,,,8.6
Benzene,437700.0,7700.0,430000.0,0.039,0.063,437700.102
Beryllium & compounds,0.51,,0.51,,,0.51
Cadmium & compounds,47.0,,47.0,,0.0041,47.0041
Carbon monoxide,7007700.0,7700.0,7000000.0,,,7007700.0
Chromium (III) compounds,,,,9.5E-5,,9.5E-5
Chromium (VI) compounds,3.0,,3.0,,,3.0
Copper & compounds,3.64,,3.64,,0.12,3.76
Cumene (1-methylethylbenzene),160.0,160.0,,0.11,0.028,160.138
Cyclohexane,191000.0,61000.0,130000.0,0.31,0.53,191000.84
Ethylbenzene,56400.0,1400.0,55000.0,0.075,0.11,56400.185
Fluoride compounds,,,,0.008,,0.008
n-Hexane,460000.0,270000.0,190000.0,0.83,1.43,460002.26
Hydrogen sulfide,23000.0,,23000.0,,,23000.0
Lead & compounds,12.0,,12.0,,0.056,12.056
Mercury & compounds,11.0,,11.0,,0.0059,11.0059
Nickel & compounds,90.0,,90.0,,,90.0
Oxides of Nitrogen,1.40045E7,4500.0,1.4E7,,,1.40045E7
Particulate Matter 10.0 um,331300.0,1300.0,330000.0,,,331300.0
Particulate Matter 2.5 um,151300.0,1300.0,150000.0,,,151300.0
Polychlorinated dioxins and furans (TEQ),1.4E-8,,1.4E-8,,,1.4E-8
Polycyclic aromatic hydrocarbons (B[a]Peq),0.210023,0.21,2.3E-5,0.16,0.21,0.580023
Sulfur dioxide,70013.0,13.0,70000.0,,,70013.0
Toluene (methylbenzene),760000.0,10000.0,750000.0,0.17,0.29,760000.46
Total Volatile Organic Compounds,1.691E7,910000.0,1.6E7,,,1.691E7
Xylenes (individual or mixed isomers),315100.0,5100.0,310000.0,0.32,0.49,315100.81
