Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,8.0,,8.0,,,8.0
Benzene,236100.0,6100.0,230000.0,0.072,0.66,236100.732
Beryllium & compounds,0.48,,0.48,,,0.48
Cadmium & compounds,44.0,,44.0,,0.0075,44.0075
Carbon monoxide,6205600.0,5600.0,6200000.0,,,6205600.0
Chromium (VI) compounds,2.8,,2.8,,,2.8
Copper & compounds,3.4,,3.4,,0.1,3.5
Cumene (1-methylethylbenzene),120.0,120.0,,0.032,6.7,126.732
Cyclohexane,125000.0,47000.0,78000.0,0.61,4.0,125004.61
Ethylbenzene,30100.0,1100.0,29000.0,0.13,1.6,30101.73
n-Hexane,300000.0,210000.0,90000.0,1.7,11.0,300012.7
Hydrogen sulfide,26000.0,,26000.0,,,26000.0
Lead & compounds,11.0,,11.0,,0.04,11.04
Mercury & compounds,10.0,,10.0,,6.2,16.2
Nickel & compounds,84.0,,84.0,,,84.0
Oxides of Nitrogen,1.30035E7,3500.0,1.3E7,,,1.30035E7
Particulate Matter 10.0 um,301100.0,1100.0,300000.0,,,301100.0
Particulate Matter 2.5 um,131000.0,1000.0,130000.0,,,131000.0
Polychlorinated dioxins and furans (TEQ),3.8E-7,,3.8E-7,,,3.8E-7
Polycyclic aromatic hydrocarbons (B[a]Peq),0.160041,0.16,4.1E-5,0.24,4.0,4.400041
Sulfur dioxide,87009.9,9.9,87000.0,,,87009.9
Toluene (methylbenzene),358000.0,8000.0,350000.0,0.33,2.8,358003.13
Total Volatile Organic Compounds,1.43E7,9700000.0,4600000.0,,,1.43E7
Xylenes (individual or mixed isomers),134000.0,4000.0,130000.0,0.57,6.0,134006.57
