Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,1.042,1.042,,,,1.042
Benzene,708948.0,2248.0,706700.0,,0.05199,708948.05199
Beryllium & compounds,0.0521,0.0521,,,,0.0521
Cadmium & compounds,0.06078,0.06078,,,0.02611,0.08689
Carbon monoxide,1257790.0,10790.0,1247000.0,,,1257790.0
Chromium (III) compounds,12.16,12.16,,,,12.16
Copper & compounds,5.21,5.21,,,0.1015,5.3115
Cumene (1-methylethylbenzene),140.6,140.6,,,0.02311,140.62311
Cyclohexane,172469.0,4569.0,167900.0,,0.4391,172469.4391
Ethylbenzene,60547.0,747.0,59800.0,,0.09243,60547.09243
Fluoride compounds,34.73,34.73,,,,34.73
Formaldehyde (methyl aldehyde),48225.001813,0.001813,48225.0,,,48225.001813
n-Hexane,338210.0,39110.0,299100.0,,1.19,338211.19
Hydrogen sulfide,56370.0,,56370.0,,,56370.0
Lead & compounds,6.078,6.078,,,0.36,6.438
Mercury & compounds,0.0111382,0.01042,7.182E-4,,0.00598,0.0171182
Nickel & compounds,8.683,8.683,,,,8.683
Oxides of Nitrogen,7871945.0,4945.0,7867000.0,,,7871945.0
Particulate Matter 10.0 um,159180.0,21180.0,138000.0,,,159180.0
Particulate Matter 2.5 um,139002.0,1302.0,137700.0,,,139002.0
Polychlorinated dioxins and furans (TEQ),4.917E-7,,4.917E-7,,,4.917E-7
Polycyclic aromatic hydrocarbons (B[a]Peq),0.0919708,0.09178,1.908E-4,,0.1733,0.2652708
Sulfur dioxide,93239.29,9.29,93230.0,,,93239.29
Toluene (methylbenzene),1259890.0,2890.0,1257000.0,,0.2369,1259890.2369
Total Volatile Organic Compounds,1.43296E7,419600.0,1.391E7,,,1.43296E7
Xylenes (individual or mixed isomers),377991.0,2891.0,375100.0,,0.4102,377991.4102
