Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,1.042,1.042,,,,1.042
Benzene,682131.0,2431.0,679700.0,,0.02439,682131.02439
Beryllium & compounds,0.0521,0.0521,,,,0.0521
Cadmium & compounds,0.06078,0.06078,,,0.04058,0.10136
Carbon monoxide,3281952.99,13952.99,3268000.0,,,3281952.99
Chromium (III) compounds,12.16,12.16,,,,12.16
Copper & compounds,5.21,5.21,,,0.4238,5.6338
Cumene (1-methylethylbenzene),203.5,203.5,,,0.01084,203.51084
Cyclohexane,165492.0,4492.0,161000.0,,0.2059,165492.2059
Ethylbenzene,52211.0,1041.0,51170.0,,0.04335,52211.04335
Fluoride compounds,34.73,34.73,,,,34.73
Formaldehyde (methyl aldehyde),46620.0,,46620.0,,,46620.0
n-Hexane,410320.0,41920.0,368400.0,,0.5582,410320.5582
Hydrogen sulfide,39150.0,,39150.0,,,39150.0
Lead & compounds,6.078,6.078,,,0.2611,6.3391
Mercury & compounds,0.01042,0.01042,,,0.004794,0.015214
Nickel & compounds,8.683,8.683,,,,8.683
Oxides of Nitrogen,7501393.92,6393.92,7495000.0,,,7501393.92
Particulate Matter 10.0 um,153765.61,21565.61,132200.0,,,153765.61
Particulate Matter 2.5 um,133582.99,1682.99,131900.0,,,133582.99
Polychlorinated dioxins and furans (TEQ),5.459E-7,,5.459E-7,,,5.459E-7
Polycyclic aromatic hydrocarbons (B[a]Peq),0.11872688,0.118672,5.488E-5,,0.08128,0.20000688
Sulfur dioxide,98592.01,12.01,98580.0,,,98592.01
Toluene (methylbenzene),1080735.0,3735.0,1077000.0,,0.1111,1080735.1111
Total Volatile Organic Compounds,1.681623248E7,496232.48,1.632E7,,,1.681623248E7
Xylenes (individual or mixed isomers),314980.0,4180.0,310800.0,,0.1924,314980.1924
