Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Benzene,742500.0,2500.0,740000.0,,0.27,742500.27
Cadmium & compounds,,,,,0.023,0.023
Carbon monoxide,3615000.0,15000.0,3600000.0,,,3615000.0
Copper & compounds,,,,,1.3,1.3
Cumene (1-methylethylbenzene),160.0,160.0,,,1.1,161.1
Cyclohexane,185200.0,5200.0,180000.0,,20.0,185220.0
Ethylbenzene,51850.0,850.0,51000.0,,4.2,51854.2
Formaldehyde (methyl aldehyde),48000.0,,48000.0,,,48000.0
n-Hexane,405000.0,45000.0,360000.0,,55.0,405055.0
Hydrogen sulfide,51000.0,,51000.0,,,51000.0
Lead & compounds,,,,,0.12,0.12
Mercury & compounds,,,,,0.009,0.009
Oxides of Nitrogen,7606800.0,6800.0,7600000.0,,,7606800.0
Particulate Matter 10.0 um,141800.0,1800.0,140000.0,,,141800.0
Particulate Matter 2.5 um,141800.0,1800.0,140000.0,,,141800.0
Polychlorinated dioxins and furans (TEQ),5.4E-7,,5.4E-7,,,5.4E-7
Polycyclic aromatic hydrocarbons (B[a]Peq),0.13026,0.13,2.6E-4,,8.0,8.13026
Sulfur dioxide,99013.0,13.0,99000.0,,,99013.0
Toluene (methylbenzene),1203300.0,3300.0,1200000.0,,11.0,1203311.0
Total Volatile Organic Compounds,1.649E7,490000.0,1.6E7,,,1.649E7
Xylenes (individual or mixed isomers),313300.0,3300.0,310000.0,,19.0,313319.0
