Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Benzene,727741.0,2541.0,725200.0,,1.082,727742.082
Cadmium & compounds,,,,,0.02487,0.02487
Carbon monoxide,3042700.0,10700.0,3032000.0,,,3042700.0
Copper & compounds,,,,,0.1075,0.1075
Cumene (1-methylethylbenzene),213.4,213.4,,,0.04808,213.44808
Cyclohexane,177086.0,4686.0,172400.0,,0.9135,177086.9135
Ethylbenzene,52146.0,1086.0,51060.0,,0.1923,52146.1923
Formaldehyde (methyl aldehyde),49290.0,,49290.0,,,49290.0
n-Hexane,396790.0,43790.0,353000.0,,2.476,396792.476
Hydrogen sulfide,49580.0,,49580.0,,,49580.0
Lead & compounds,,,,,0.1084,0.1084
Mercury & compounds,,,,,0.02849,0.02849
Oxides of Nitrogen,7994903.0,4903.0,7990000.0,,,7994903.0
Particulate Matter 10.0 um,142818.0,1318.0,141500.0,,,142818.0
Particulate Matter 2.5 um,142491.0,1291.0,141200.0,,,142491.0
Polychlorinated dioxins and furans (TEQ),5.176E-7,,5.176E-7,,,5.176E-7
Polycyclic aromatic hydrocarbons (B[a]Peq),0.0913408,0.091,3.408E-4,,0.3606,0.4519408
Sulfur dioxide,97129.21,9.21,97120.0,,,97129.21
Toluene (methylbenzene),1154900.0,3900.0,1151000.0,,0.4928,1154900.4928
Total Volatile Organic Compounds,1.63387E7,518700.0,1.582E7,,,1.63387E7
Xylenes (individual or mixed isomers),304261.0,4361.0,299900.0,,0.8534,304261.8534
