Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Acetaldehyde,33.0,,33.0,,,33.0
Arsenic & compounds,5.0,,5.0,,,5.0
Benzene,646836.0,,646836.0,,,646836.0
"1,3-Butadiene (vinyl ethylene)",9.0,,9.0,,,9.0
Cadmium & compounds,29.0,,29.0,,0.2,29.2
Carbon monoxide,2621641.0,,2621641.0,,,2621641.0
Chromium (VI) compounds,2.0,,2.0,,,2.0
Copper & compounds,2.0,,2.0,,,2.0
Cyclohexane,511089.0,,511089.0,,,511089.0
Ethylbenzene,50371.0,,50371.0,,,50371.0
Formaldehyde (methyl aldehyde),98.0,,98.0,,,98.0
n-Hexane,1148458.0,,1148458.0,,,1148458.0
Hydrogen sulfide,13385.0,,13385.0,,,13385.0
Lead & compounds,7.0,,7.0,,0.3,7.3
Nickel & compounds,55.0,,55.0,,,55.0
Oxides of Nitrogen,1.0468913E7,,1.0468913E7,,,1.0468913E7
Particulate Matter 10.0 um,186832.0,,186832.0,,,186832.0
Sulfur dioxide,3925.0,,3925.0,,,3925.0
Toluene (methylbenzene),1158748.0,,1158748.0,,,1158748.0
Total Nitrogen,,,,,192.8,192.8
Total Phosphorus,,,,,14.1,14.1
Total Volatile Organic Compounds,2.1270769E7,,2.1270769E7,,,2.1270769E7
Xylenes (individual or mixed isomers),537124.0,,537124.0,,,537124.0
Zinc and compounds,,,,,2.7,2.7
