Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,4.0,,4.0,,,4.0
Benzene,784640.0,,784640.0,,,784640.0
Beryllium & compounds,0.0,,0.0,,,0.0
"1,3-Butadiene (vinyl ethylene)",24.0,,24.0,,,24.0
Cadmium & compounds,21.0,,21.0,,,21.0
Carbon monoxide,847407.0,,847407.0,,,847407.0
Chromium (VI) compounds,1.0,,1.0,,,1.0
Copper & compounds,2.0,,2.0,,,2.0
Cyclohexane,903169.0,,903169.0,,,903169.0
Ethylbenzene,15938.0,,15938.0,,,15938.0
n-Hexane,2768712.0,,2768712.0,,,2768712.0
Hydrogen sulfide,14886.0,,14886.0,,,14886.0
Lead & compounds,5.0,,5.0,,,5.0
Mercury & compounds,0.0,,0.0,,,0.0
Nickel & compounds,40.0,,40.0,,,40.0
Oxides of Nitrogen,1.1932687E7,,1.1932687E7,,,1.1932687E7
Particulate Matter 10.0 um,142871.0,,142871.0,,,142871.0
Sulfur dioxide,14715.0,,14715.0,,,14715.0
Toluene (methylbenzene),1268307.0,,1268307.0,,,1268307.0
Total Nitrogen,,,,,708.0,708.0
Total Phosphorus,,,,,80.0,80.0
Total Volatile Organic Compounds,3.6280513E7,,3.6280513E7,,,3.6280513E7
Xylenes (individual or mixed isomers),540865.0,,540865.0,,,540865.0
Zinc and compounds,,,,,3.0,3.0
