Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Ammonia (total),40.0,40.0,,,,40.0
Arsenic & compounds,8.2,,8.2,,,8.2
Benzene,194200.0,4200.0,190000.0,,0.059,194200.059
Beryllium & compounds,0.49,,0.49,,,0.49
"1,3-Butadiene (vinyl ethylene)",1.87,1.87,,,,1.87
Cadmium & compounds,45.0,,45.0,,0.0045,45.0045
Carbon monoxide,6203900.0,3900.0,6200000.0,,,6203900.0
Chromium (VI) compounds,2.9,,2.9,,,2.9
Copper & compounds,3.5,,3.5,,0.46,3.96
Cumene (1-methylethylbenzene),154.0,154.0,,,0.026,154.026
Cyclohexane,77900.0,5900.0,72000.0,,0.5,77900.5
Ethylbenzene,19200.0,1200.0,18000.0,,,19200.0
Formaldehyde (methyl aldehyde),3100.0,,3100.0,,,3100.0
n-Hexane,111000.0,30000.0,81000.0,,1.3,111001.3
Hydrogen sulfide,21700.0,,21700.0,,,21700.0
Lead & compounds,11.000000085,8.5E-8,11.0,,0.068,11.068000085
Mercury & compounds,11.0,,11.0,,,11.0
Nickel & compounds,86.0,,86.0,,,86.0
Oxides of Nitrogen,1.4002E7,2000.0,1.4E7,,,1.4002E7
Particulate Matter 10.0 um,320570.0,570.0,320000.0,,,320570.0
Particulate Matter 2.5 um,130540.0,540.0,130000.0,,,130540.0
Polychlorinated dioxins and furans (TEQ),5.1E-7,,5.1E-7,,,5.1E-7
Polycyclic aromatic hydrocarbons (B[a]Peq),0.087,0.087,,,0.2,0.287
Sulfur dioxide,75007.6,7.6,75000.0,,,75007.6
Toluene (methylbenzene),294800.0,4800.0,290000.0,,0.27,294800.27
Total Volatile Organic Compounds,1.4E7,9900000.0,4100000.0,,,1.4E7
Xylenes (individual or mixed isomers),131300.0,1300.0,130000.0,,0.46,131300.46
