Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.0,,0.0,,,0.0
Benzene,1178606.0,,1178606.0,,3.0,1178609.0
Cadmium & compounds,,,,,0.0,0.0
Carbon monoxide,815881.0,,815881.0,,,815881.0
Chromium (VI) compounds,0.0,0.0,0.0,0.0,0.0,0.0
Fluoride compounds,0.0,,0.0,,,0.0
Lead & compounds,,,,,0.0,0.0
Mercury & compounds,0.0,0.0,0.0,0.0,0.0,0.0
Nickel carbonyl,0.0,,0.0,,,0.0
Nickel subsulfide,0.0,,0.0,,,0.0
Oxides of Nitrogen,6845546.0,,6845546.0,,,6845546.0
Particulate Matter 10.0 um,139987.0,,139987.0,,,139987.0
Polycyclic aromatic hydrocarbons (B[a]Peq),0.0,,0.0,,,0.0
Sulfur dioxide,124727.0,,124727.0,,,124727.0
Toluene (methylbenzene),2385785.0,,2385785.0,,1.0,2385786.0
Xylenes (individual or mixed isomers),1375077.0,,1375077.0,,1.0,1375078.0
