Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Acetaldehyde,33.0,,33.0,,,33.0
Arsenic & compounds,5.0,,5.0,,,5.0
Benzene,250000.0,,250000.0,,,250000.0
Beryllium & compounds,0.32,,0.32,,,0.32
"1,3-Butadiene (vinyl ethylene)",15.0,,15.0,,,15.0
Cadmium & compounds,29.0,,29.0,,0.2,29.2
Carbon monoxide,4000000.0,,4000000.0,,,4000000.0
Chromium (VI) compounds,2.0,,2.0,,,2.0
Copper & compounds,2.0,,2.0,0.03,0.2,2.23
Cyclohexane,76000.0,,76000.0,,,76000.0
Ethylbenzene,23000.0,,23000.0,,,23000.0
Formaldehyde (methyl aldehyde),98.0,,98.0,,,98.0
n-Hexane,90000.0,,90000.0,,,90000.0
Hydrogen sulfide,15000.0,,15000.0,,,15000.0
Lead & compounds,7.0,,7.0,0.03,0.2,7.23
Mercury & compounds,0.11,,0.11,,,0.11
Nickel & compounds,56.0,,56.0,,,56.0
Oxides of Nitrogen,9700000.0,,9700000.0,,,9700000.0
Particulate Matter 10.0 um,190000.0,,190000.0,,,190000.0
Sulfur dioxide,3900.0,,3900.0,,,3900.0
Toluene (methylbenzene),410000.0,,410000.0,,,410000.0
Total Nitrogen,,,,,184.0,184.0
Total Phosphorus,,,,,28.0,28.0
Total Volatile Organic Compounds,1.1E7,,1.1E7,,,1.1E7
Xylenes (individual or mixed isomers),190000.0,,190000.0,,,190000.0
Zinc and compounds,,,,0.3,1.8,2.1
