Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,4.0,,4.0,,,4.0
Benzene,884978.0,,884978.0,,,884978.0
Beryllium & compounds,0.0,,0.0,,,0.0
"1,3-Butadiene (vinyl ethylene)",44.0,,44.0,,,44.0
Cadmium & compounds,21.0,,21.0,,,21.0
Carbon monoxide,679284.0,,679284.0,,,679284.0
Chromium (III) compounds,0.0,,0.0,,,0.0
Chromium (VI) compounds,1.0,,1.0,,,1.0
Copper & compounds,2.0,,2.0,0.02,4.0,6.02
Cyclohexane,917880.0,,917880.0,,,917880.0
Ethylbenzene,306720.0,,306720.0,,,306720.0
n-Hexane,2187880.0,,2187880.0,,,2187880.0
Hydrogen sulfide,18219.0,,18219.0,,,18219.0
Lead & compounds,5.0,,5.0,0.06,2.0,7.06
Mercury & compounds,0.0,,0.0,,,0.0
Nickel & compounds,40.0,,40.0,,,40.0
Oxides of Nitrogen,1.1764861E7,,1.1764861E7,,,1.1764861E7
Particulate Matter 10.0 um,141710.0,,141710.0,,,141710.0
Sulfur dioxide,8672.0,,8672.0,,,8672.0
Toluene (methylbenzene),1497120.0,,1497120.0,,,1497120.0
Total Nitrogen,,,,,1247.0,1247.0
Total Phosphorus,,,,,175.0,175.0
Total Volatile Organic Compounds,3.6179936E7,,3.6179936E7,,,3.6179936E7
Xylenes (individual or mixed isomers),623186.0,,623186.0,,,623186.0
Zinc and compounds,,,,0.9,12.0,12.9
