Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,1.042,1.042,,,,1.042
Benzene,676619.0,2219.0,674400.0,2.298,0.06305,676621.36105
Beryllium & compounds,0.0521,0.0521,,,,0.0521
Cadmium & compounds,0.06078,0.06078,,,0.01089,0.07167
Carbon monoxide,1277290.0,16290.0,1261000.0,,,1277290.0
Chromium (III) compounds,12.16,12.16,,,,12.16
Copper & compounds,5.21,5.21,,,0.1891,5.3991
Cumene (1-methylethylbenzene),129.8,129.8,,1.085,0.02811,130.91311
Cyclohexane,173209.0,4209.0,169000.0,19.38,0.5324,173228.9124
Ethylbenzene,53148.6,688.6,52460.0,4.083,0.1121,53152.7951
Fluoride compounds,34.73,34.73,,,,34.73
Formaldehyde (methyl aldehyde),50440.0,,50440.0,,,50440.0
n-Hexane,335340.0,36140.0,299200.0,52.53,1.443,335393.973
Hydrogen sulfide,54440.0001081,1.081E-4,54440.0,,,54440.0001081
Lead & compounds,6.078,6.078,,,0.05744,6.13544
Mercury & compounds,0.0107925,0.01042,3.725E-4,,0.02431,0.0351025
Nickel & compounds,8.683,8.683,,,0.1123,8.7953
Oxides of Nitrogen,7842464.0,7464.0,7835000.0,,,7842464.0
Particulate Matter 10.0 um,164150.0,21850.0,142300.0,,,164150.0
Particulate Matter 2.5 um,143965.0,1965.0,142000.0,,,143965.0
Polychlorinated dioxins and furans (TEQ),4.499E-7,,4.499E-7,,,4.499E-7
Polycyclic aromatic hydrocarbons (B[a]Peq),0.1386446,0.1385,1.446E-4,7.896,0.2105,8.2451446
Sulfur dioxide,89814.02,14.02,89800.0,,,89814.02
Toluene (methylbenzene),1073681.0,2681.0,1071000.0,10.46,0.2872,1073691.7472
Total Volatile Organic Compounds,1.25091E7,399100.0,1.211E7,,,1.25091E7
Xylenes (individual or mixed isomers),303467.0,2667.0,300800.0,18.14,0.4974,303485.6374
