Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,8.5,,8.5,,,8.5
Benzene,267100.0,7100.0,260000.0,,0.07,267100.07
Beryllium & compounds,0.51,,0.51,,,0.51
Cadmium & compounds,47.0,,47.0,,0.004,47.004
Carbon monoxide,6206200.0,6200.0,6200000.0,,,6206200.0
Chromium (VI) compounds,3.0,,3.0,,,3.0
Copper & compounds,3.6,,3.6,,0.11,3.71
Cumene (1-methylethylbenzene),140.0,140.0,,,0.03,140.03
Cyclohexane,144000.0,55000.0,89000.0,,0.57,144000.57
Ethylbenzene,24300.0,1300.0,23000.0,0.07,0.12,24300.19
n-Hexane,340000.0,240000.0,100000.0,0.95,1.5,340002.45
Hydrogen sulfide,27000.0,,27000.0,,,27000.0
Lead & compounds,11.0,,11.0,,0.05,11.05
Mercury & compounds,11.0,,11.0,,0.021,11.021
Nickel & compounds,89.0,,89.0,,,89.0
Oxides of Nitrogen,1.40035E7,3500.0,1.4E7,,,1.40035E7
Particulate Matter 10.0 um,321000.0,1000.0,320000.0,,,321000.0
Particulate Matter 2.5 um,140960.0,960.0,140000.0,,,140960.0
Polychlorinated dioxins and furans (TEQ),4.3E-7,,4.3E-7,,,4.3E-7
Polycyclic aromatic hydrocarbons (B[a]Peq),0.15,0.15,,0.14,0.23,0.52
Sulfur dioxide,96012.0,12.0,96000.0,,,96012.0
Toluene (methylbenzene),399400.0,9400.0,390000.0,,,399400.0
Total Volatile Organic Compounds,1.39E7,9800000.0,4100000.0,,,1.39E7
Xylenes (individual or mixed isomers),164700.0,4700.0,160000.0,,0.53,164700.53
