Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.0364063,0.026589,0.0098173,,,0.0364063
Beryllium & compounds,0.0013889,0.00133,5.89E-5,,,0.0013889
Cadmium & compounds,0.055512,0.001551,0.053961,,,0.055512
Carbon monoxide,1450813.0,813.0,1450000.0,,,1450813.0
Chromium (III) compounds,0.3787,0.31,0.0687,,,0.3787
Copper & compounds,0.174658,0.13294,0.041718,,,0.174658
Fluoride compounds,0.886,0.886,,,,0.886
Formaldehyde (methyl aldehyde),18200.0,,18200.0,,,18200.0
Lead & compounds,0.1795,0.155,0.0245,,,0.1795
Mercury & compounds,0.012966,2.66E-4,0.0127,,,0.012966
Nickel & compounds,0.325,0.222,0.103,,,0.325
Oxides of Nitrogen,1120539.0,539.0,1120000.0,,,1120539.0
Particulate Matter 10.0 um,49982.0,1018.0,48964.0,,,49982.0
Particulate Matter 2.5 um,49121.4,159.4,48962.0,,,49121.4
Polychlorinated dioxins and furans (TEQ),2.43E-7,,2.43E-7,,,2.43E-7
Polycyclic aromatic hydrocarbons (B[a]Peq),0.057,0.0257,0.0313,,,0.057
Sulfur dioxide,51468.34,1.34,51467.0,,,51468.34
Total Volatile Organic Compounds,71367.8,67.8,71300.0,,,71367.8
