Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.085,0.023,0.062,,,0.085
Beryllium & compounds,0.00137,0.001,3.7E-4,,,0.00137
Cadmium & compounds,0.3413,0.0013,0.34,,,0.3413
Carbon monoxide,2483708.985,766.832,2482942.153,,,2483708.985
Chromium (III) compounds,0.699,0.266,0.433,,,0.699
Copper & compounds,0.377,0.114,0.263,,,0.377
Fluoride compounds,0.761,0.761,,,,0.761
Formaldehyde (methyl aldehyde),18398.051,,18398.051,,,18398.051
Lead & compounds,0.287,0.133,0.154,,,0.287
Mercury & compounds,0.080228,2.28E-4,0.08,,,0.080228
Nickel & compounds,0.838,0.19,0.648,,,0.838
Oxides of Nitrogen,1246074.268,507.932,1245566.336,,,1246074.268
Particulate Matter 10.0 um,52279.708,887.878,51391.83,,,52279.708
Particulate Matter 2.5 um,51541.055,150.33,51390.725,,,51541.055
Polychlorinated dioxins and furans (TEQ),1.53E-6,,1.53E-6,,,1.53E-6
Polycyclic aromatic hydrocarbons (B[a]Peq),0.221,0.024,0.197,,,0.221
Sulfur dioxide,10564.832,1.268,10563.564,,,10564.832
Total Volatile Organic Compounds,73576.579,64.311,73512.268,,,73576.579
