Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.0564,0.0211,0.0353,,,0.0564
Beryllium & compounds,0.001262,0.00105,2.12E-4,,,0.001262
Cadmium & compounds,0.19523,0.00123,0.194,,,0.19523
Carbon monoxide,2091994.0,645.0,2091349.0,,,2091994.0
Chromium (III) compounds,0.493,0.246,0.247,,,0.493
Copper & compounds,0.255,0.105,0.15,,,0.255
Fluoride compounds,0.703,0.703,,,,0.703
Formaldehyde (methyl aldehyde),18300.0,,18300.0,,,18300.0
Lead & compounds,0.2112,0.123,0.0882,,,0.2112
Mercury & compounds,0.046091,2.11E-4,0.04588,,,0.046091
Nickel & compounds,0.547,0.176,0.371,,,0.547
Oxides of Nitrogen,1158068.0,427.0,1157641.0,,,1158068.0
Particulate Matter 10.0 um,51200.0,807.0,50393.0,,,51200.0
Particulate Matter 2.5 um,50514.0,126.0,50388.0,,,50514.0
Polychlorinated dioxins and furans (TEQ),8.74E-7,,8.74E-7,,,8.74E-7
Polycyclic aromatic hydrocarbons (B[a]Peq),0.1334,0.0204,0.113,,,0.1334
Sulfur dioxide,65316.07,1.07,65315.0,,,65316.07
Total Volatile Organic Compounds,70700.7,54.7,70646.0,,,70700.7
