Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.045,0.0216,0.0234,,,0.045
Beryllium & compounds,0.00122,0.00108,1.4E-4,,,0.00122
Cadmium & compounds,0.129861,0.001261,0.1286,,,0.129861
Carbon monoxide,5958660.8,660.8,5958000.0,,,5958660.8
Chromium (III) compounds,0.416,0.252,0.164,,,0.416
Copper & compounds,0.2074,0.108,0.0994,,,0.2074
Fluoride compounds,0.72,0.72,,,,0.72
Formaldehyde (methyl aldehyde),16300.0,,16300.0,,,16300.0
Lead & compounds,0.184391,0.12605,0.058341,,,0.184391
Mercury & compounds,0.0305761,2.161E-4,0.03036,,,0.0305761
Nickel & compounds,0.425,0.18,0.245,,,0.425
Oxides of Nitrogen,1120438.0,438.0,1120000.0,,,1120438.0
Particulate Matter 10.0 um,45217.4,827.4,44390.0,,,45217.4
Particulate Matter 2.5 um,44519.5,129.5,44390.0,,,44519.5
Polychlorinated dioxins and furans (TEQ),5.78E-7,,5.78E-7,,,5.78E-7
Polycyclic aromatic hydrocarbons (B[a]Peq),0.0955,0.0209,0.0746,,,0.0955
Sulfur dioxide,50332.09,1.09,50331.0,,,50332.09
Total Volatile Organic Compounds,75055.0,55.0,75000.0,,,75055.0
