Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.0345,0.0183,0.0162,,,0.0345
Beryllium & compounds,0.0010123,9.15E-4,9.73E-5,,,0.0010123
Cadmium & compounds,0.09007,0.00107,0.089,,,0.09007
Carbon monoxide,1739835.0,560.0,1739275.0,,,1739835.0
Chromium (III) compounds,0.327,0.214,0.113,,,0.327
Copper & compounds,0.1603,0.0915,0.0688,,,0.1603
Fluoride compounds,0.61,0.61,,,,0.61
Formaldehyde (methyl aldehyde),18015.0,,18015.0,,,18015.0
Lead & compounds,0.1472,0.1068,0.0404,,,0.1472
Mercury & compounds,0.021183,1.83E-4,0.021,,,0.021183
Nickel & compounds,0.32241,0.15255,0.16986,,,0.32241
Oxides of Nitrogen,1102503.0,371.0,1102132.0,,,1102503.0
Particulate Matter 10.0 um,49431.0,701.0,48730.0,,,49431.0
Particulate Matter 2.5 um,48838.0,110.0,48728.0,,,48838.0
Polychlorinated dioxins and furans (TEQ),4.0E-7,,4.0E-7,,,4.0E-7
Polycyclic aromatic hydrocarbons (B[a]Peq),0.0693,0.0177,0.0516,,,0.0693
Sulfur dioxide,55056.926,0.926,55056.0,,,55056.926
Total Volatile Organic Compounds,61645.1,47.1,61598.0,,,61645.1
