Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.004335,8.15E-4,0.00352,,,0.004335
Beryllium & compounds,6.19E-5,4.07E-5,2.12E-5,,,6.19E-5
Cadmium & compounds,0.0194075,4.75E-5,0.01936,,,0.0194075
Carbon monoxide,1648546.4,26.4,1648520.0,,,1648546.4
Chromium (III) compounds,0.0341636,0.00951,0.0246536,,,0.0341636
Copper & compounds,0.0190411,0.00407,0.0149711,,,0.0190411
Fluoride compounds,0.0272,0.0272,,,,0.0272
Lead & compounds,0.01353741,0.00475,0.00878741,,,0.01353741
Mercury & compounds,0.00457815,8.15E-6,0.00457,,,0.00457815
Nickel & compounds,0.04369,0.00679,0.0369,,,0.04369
Oxides of Nitrogen,2374517.5,17.5,2374500.0,,,2374517.5
Particulate Matter 10.0 um,13126.8,31.5,13095.3,,,13126.8
Particulate Matter 2.5 um,13100.48,5.18,13095.3,,,13100.48
Polychlorinated dioxins and furans (TEQ),8.71E-8,,8.71E-8,,,8.71E-8
Polycyclic aromatic hydrocarbons (B[a]Peq),0.012034,8.34E-4,0.0112,,,0.012034
Sulfur dioxide,3457.4137,0.0437,3457.37,,,3457.4137
Total Volatile Organic Compounds,24903.03,3.03,24900.0,,,24903.03
