Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.03394,0.02367,0.01027,,,0.03394
Beryllium & compounds,0.0012417,0.00118,6.17E-5,,,0.0012417
Cadmium & compounds,0.05788,0.00138,0.0565,,,0.05788
Carbon monoxide,1390724.0,724.0,1390000.0,,,1390724.0
Chromium (III) compounds,0.3479,0.276,0.0719,,,0.3479
Copper & compounds,0.1617,0.118,0.0437,,,0.1617
Fluoride compounds,0.789,0.789,,,,0.789
Formaldehyde (methyl aldehyde),18300.0,,18300.0,,,18300.0
Lead & compounds,0.1636,0.138,0.0256,,,0.1636
Mercury & compounds,0.013537,2.37E-4,0.0133,,,0.013537
Nickel & compounds,0.305,0.197,0.108,,,0.305
Oxides of Nitrogen,1080479.0,479.0,1080000.0,,,1080479.0
Particulate Matter 10.0 um,50006.0,906.0,49100.0,,,50006.0
Particulate Matter 2.5 um,49242.0,142.0,49100.0,,,49242.0
Polychlorinated dioxins and furans (TEQ),2.54E-7,,2.54E-7,,,2.54E-7
Polycyclic aromatic hydrocarbons (B[a]Peq),0.0556,0.0229,0.0327,,,0.0556
Sulfur dioxide,52092.2,1.2,52091.0,,,52092.2
Total Volatile Organic Compounds,64859.9,59.9,64800.0,,,64859.9
